type,K,RendertimeFeet,nTravFeet,nTravPFeet,nbNodesFeet,nbKdNodesFeet,nbBSPNodesFeet,SAFeet,BuildtimeFeet,nbPrimIntFeet,nbPrimIntPFeet,nbBSPNodeTravFeet,nbBSPNodeTravPFeet,nbKdNodeTravFeet,nbKdNodeTravPFeet,nbLeafNodeTravFeet,nbLeafNodeTravPFeet,nbNodeTravFeet,nbKdNodeTravPercFeet,nbKdNodeTravPPercFeet,nbKdNodePercFeet,nbNodesTovKdFeet,SATovKdFeet,RendertimeTovKdFeet,BuildtimeTovKdFeet,nbPrimIntTovKdFeet,nbPrimIntPTovKdFeet,nbLeafNodeTravTovKdFeet,nbLeafNodeTravPTovKdFeet,nbNodeTravTovKdFeet,nbNodeTravPTovKdFeet,RendertimeSponza,nTravSponza,nTravPSponza,nbNodesSponza,nbKdNodesSponza,nbBSPNodesSponza,SASponza,BuildtimeSponza,nbPrimIntSponza,nbPrimIntPSponza,nbBSPNodeTravSponza,nbBSPNodeTravPSponza,nbKdNodeTravSponza,nbKdNodeTravPSponza,nbLeafNodeTravSponza,nbLeafNodeTravPSponza,nbNodeTravSponza,nbKdNodeTravPercSponza,nbKdNodeTravPPercSponza,nbKdNodePercSponza,nbNodesTovKdSponza,SATovKdSponza,RendertimeTovKdSponza,BuildtimeTovKdSponza,nbPrimIntTovKdSponza,nbPrimIntPTovKdSponza,nbLeafNodeTravTovKdSponza,nbLeafNodeTravPTovKdSponza,nbNodeTravTovKdSponza,nbNodeTravPTovKdSponza,RendertimeConference,nTravConference,nTravPConference,nbNodesConference,nbKdNodesConference,nbBSPNodesConference,SAConference,BuildtimeConference,nbPrimIntConference,nbPrimIntPConference,nbBSPNodeTravConference,nbBSPNodeTravPConference,nbKdNodeTravConference,nbKdNodeTravPConference,nbLeafNodeTravConference,nbLeafNodeTravPConference,nbNodeTravConference,nbKdNodeTravPercConference,nbKdNodeTravPPercConference,nbKdNodePercConference,nbNodesTovKdConference,SATovKdConference,RendertimeTovKdConference,BuildtimeTovKdConference,nbPrimIntTovKdConference,nbPrimIntPTovKdConference,nbLeafNodeTravTovKdConference,nbLeafNodeTravPTovKdConference,nbNodeTravTovKdConference,nbNodeTravPTovKdConference
bsprandomwithkd,3,10.884380788,707207614,262188684,940765,470382,0,1084.087889,31.887627573,147364684,66899509,581715734,217614682,0,0,125491880,44574002,581715734,0,0,100,97.6526372279238,117.848299065551,102.680730982142,3579.38235352398,99.8531217836193,99.8338910044676,99.2463535103733,99.0255600079116,99.3547648750846,99.2357244277979,149.406173813,8640757095,5527717014,4840849,2420424,0,3727.12554,214.106778084,1156119094,589707505,7252412253,4674278882,0,0,1388344842,853438132,7252412253,0,0,100,98.2539439299759,108.0450717038,91.382658923291,3425.93630425647,98.471252537044,98.5022312492569,99.8712679139811,99.7404516227476,100.061409088536,99.9983173516486,206.535650365,8156362186,3898931843,1717155,858577,0,1570.019306,106.522795225,1777458392,600354531,6691572690,3265277543,0,0,1464789496,633654300,6691572690,0,0,100,98.6622899880892,111.607624055646,97.1293026779828,3453.88702620776,99.5707407405768,99.6384855573018,99.8037926354999,99.6333810490105,99.8431191950431,99.4425794711888
bsprandomwithkd,4,9.560447126,700591783,264917297,1249633,339804,285012,778.96626,58.115994893,91605708,41613636,586937164,224273452,0,0,113654619,40643845,586937164,0,0,54.3846508412077,129.713539531171,84.6793416861552,90.1910470181359,6523.51342542739,62.071289190283,62.0998758111004,89.8847518688922,90.2943269935636,100.246564631633,102.272228484763,155.921824989,9281522963,5902722371,7203679,2027932,1573907,3163.158628,376.130225595,1129904017,645756275,7883897942,5044263075,0,0,1397625021,858459296,7883897942,0,0,56.3026831571317,146.211929468476,91.6963212279544,95.3678859984772,6018.48389166145,96.2384103662485,107.864379190339,100.538842147097,100.327269982806,108.774006450117,107.913505486696,206.23441115,9089488489,4191431714,2592507,728452,567801,1405.608028,181.407958331,1605523645,552852005,7583630785,3555531159,0,0,1505857704,635900555,7583630785,0,0,56.1967455427297,148.957244646029,99.9201549682234,96.9876363126822,5881.95787020833,89.9391959489316,91.7546777297794,102.601985090004,99.9865736026604,113.153273150494,108.282124623409
bsprandomwithkd,5,9.06443898,690797151,263862742,1367353,279513,404163,676.445892,79.461641628,72635243,33218023,580754679,224344888,0,0,110042472,39517854,580754679,0,0,40.8838397135485,141.933029472305,73.5346262890309,85.5118208870061,8919.55969989245,49.217055051411,49.5711334378538,87.0280537455281,87.7928264700326,99.1906204519994,102.304804426538,154.287429225,10211234449,6112269461,7853783,1758784,2168107,2730.10874,501.282140688,954255427,532994344,8714639024,5232961769,0,0,1496595425,879307692,8714639024,0,0,44.7882052239291,159.406987187619,79.1427043191227,94.3682256307991,8021.04772126668,81.2777227057559,89.0291062638485,107.658326755258,102.763800944666,120.235727095998,111.950395959602,200.092882773,8891832870,4232368820,3013483,658126,848615,1281.148161,247.172508859,1307572601,446512293,7438356227,3593446790,0,0,1453476643,638922030,7438356227,0,0,43.678774255164,173.145192845245,91.0727032247531,94.0994067620896,8014.30266432744,73.2483939087631,74.1058930347912,99.0329886134809,100.461658787129,110.985671350086,109.436828350509
bsprandomwithkd,6,8.729187644,670832775,256321916,1445217,245041,477567,608.065533,99.64023345,61855995,28369759,565835843,218993079,0,0,104996932,37328837,565835843,0,0,33.9106403471869,150.015414494192,66.1011800902405,82.3491373211047,11184.6042009699,41.9131235118853,42.3360869185006,83.0377442012713,82.9297084064619,96.6425418005975,99.8642951822478,160.209780382,9968705262,6227296936,8653785,1679570,2647322,2522.831875,638.13263033,1218609555,555813232,8522484697,5345728387,0,0,1446220565,881568549,8522484697,0,0,38.8170076812641,175.644500824559,73.1339870110752,97.9905672114186,10210.8011934144,103.793813160965,92.84067617532,104.034586466108,103.028025016429,117.584577099095,114.362847663513,199.689526263,8839184708,4270801039,3002485,565879,935363,1224.031901,297.919742919,1285854769,435718329,7400578203,3625366915,0,0,1438606505,645434124,7400578203,0,0,37.6940559883083,172.513282583627,87.0124919590806,93.9097168152078,9659.72712925574,72.0317912421397,72.3144611881311,98.0198081029257,101.48559556611,110.421995824477,110.408941601295
bsprandomwithkd,7,8.574769004,672515665,257242399,1459575,213730,516057,575.885475,118.098849007,57556054,26271092,567239847,219353499,0,0,105275818,37888900,567239847,0,0,29.2866274680146,151.505793669989,62.6029719305414,80.8923875857455,13256.581573509,38.9995181575972,39.2042538801943,83.2583036394205,84.1739438290455,96.8823401748731,100.028652382183,158.367585406,10240695061,6645550444,8693023,1526806,2819705,2432.085595,751.035391199,1055395252,513725951,8745983181,5716483254,0,0,1494711880,929067190,8745983181,0,0,35.1271629129663,176.440908283648,70.5033569922503,96.8638087190104,12017.3655197439,89.8922030830928,85.8105959227133,107.522833020826,108.57914316685,120.668181899545,122.294523069682,199.547490463,9555620474,4591172028,3374083,561422,1125619,1209.44165,365.259256928,1208025488,441084762,8041377472,3905918993,0,0,1514243002,685253035,8041377472,0,0,33.2785036048324,193.864127227817,85.9753179305432,93.8429204137879,11843.138419727,67.6719034409087,73.2051070138137,103.173319431944,107.746568990609,119.983185810574,118.95303071621
bsprandomwithkd,8,8.470739053,659669775,254033436,1594257,204311,592817,544.981353,143.298193148,54324136,24796459,559661541,217671541,0,0,100008234,36361895,559661541,0,0,25.6308898947221,165.485961392142,59.2434673656728,79.9109930883669,16085.2049175375,36.8095965774126,37.0036644828402,79.0923886510596,80.781550988486,95.5879952452559,99.2616530278509,158.701819798,10045879935,6397489642,9280541,1484404,3155866,2309.799689,875.597039321,1051945078,531187219,8615290100,5490640193,0,0,1430589835,906849449,8615290100,0,0,31.9896040532124,188.365667892934,66.9584295836248,97.0682395444915,14010.4844496442,89.5983380677895,88.727251796783,102.910182228561,105.982578239309,118.865011673311,117.46299147825,196.699814237,8911758728,4430026478,3438837,531779,1187639,1158.803329,427.394393746,1176768272,442441236,7483555092,3756952409,0,0,1428203636,673074069,7483555092,0,0,30.9278488418756,197.584687064226,82.3756025185232,92.503719139842,13857.8033792226,65.9209177837388,73.4302356804246,97.3110060645949,105.831594910482,111.660071207151,114.416319464902
bsprandomwithkd,9,8.374247216,652490862,255828939,1525079,177274,585265,523.537677,153.035612048,50414668,23363557,551169279,217943219,0,0,101321583,37885720,551169279,0,0,23.2478601094501,158.305194528841,56.9123826188043,79.000711415027,17178.2290159825,34.1605725798234,34.8653501031624,80.1310622221026,84.1668791441014,94.13755021695,99.385542477282,153.722080832,10620108509,6242737609,9481415,1422241,3318466,2231.963347,1006.975944103,925485125,484956044,9102044680,5355902014,0,0,1518063829,886835595,9102044680,0,0,30.0006096137137,192.442775593048,64.7020437811354,94.0224364438341,16112.6867411079,78.827241878554,81.0049931309808,109.202666938408,103.64357935723,125.580756373973,114.58049526372,196.079981658,9359053037,4468556363,3529863,504846,1260085,1172.180281,477.909941441,1141631650,408297654,7868607589,3808330896,0,0,1490445448,660225467,7868607589,0,0,28.6042910459389,202.814752846555,83.3265270225219,92.212225123826,15495.7156630395,63.9526132116554,67.7635593644903,101.551867236162,103.811329824278,117.405333813619,115.98102850091
bsprandomwithkd,10,8.293568597,640607019,248704625,1550893,164052,611394,509.032186,171.619192912,48037323,22128239,540465954,212207336,0,0,100141065,36497289,540465954,0,0,21.1558251638412,160.984721485521,55.3355294330008,78.2396079829711,19264.2337291776,32.5497027746353,33.0218895993214,79.1974392119655,81.0823421687734,92.3094643038455,96.7698894362887,156.317171266,10477506068,6578122348,9976703,1396946,3591405,2250.221555,1140.409823563,893153089,511238329,9003335247,5643000430,0,0,1474170821,935121918,9003335247,0,0,28.0041641015237,202.49555752886,65.2313281777492,95.6096952428054,18247.7708143475,76.0733940280031,85.3950741336448,106.045201855595,109.286753106609,124.218863997788,120.722481918577,196.417719062,9428888607,4491607571,3594695,490868,1306479,1154.616456,538.573813675,1158221308,401259680,7921559255,3832689998,0,0,1507329352,658917573,7921559255,0,0,27.3106973778575,206.539794316025,82.0779711798722,92.3710558074432,17462.6764513475,64.881942721211,66.5954944386146,102.702256188496,103.605681568954,118.195411086173,116.722874149429
