type,K,RendertimeFeet,nTravFeet,nTravPFeet,nbNodesFeet,nbKdNodesFeet,nbBSPNodesFeet,SAFeet,BuildtimeFeet,nbPrimIntFeet,nbPrimIntPFeet,nbBSPNodeTravFeet,nbBSPNodeTravPFeet,nbKdNodeTravFeet,nbKdNodeTravPFeet,nbLeafNodeTravFeet,nbLeafNodeTravPFeet,nbNodeTravFeet,nbKdNodeTravPercFeet,nbKdNodeTravPPercFeet,nbKdNodePercFeet,nbNodesTovKdFeet,SATovKdFeet,RendertimeTovKdFeet,BuildtimeTovKdFeet,nbPrimIntTovKdFeet,nbPrimIntPTovKdFeet,nbLeafNodeTravTovKdFeet,nbLeafNodeTravPTovKdFeet,nbNodeTravTovKdFeet,nbNodeTravPTovKdFeet,RendertimeSponza,nTravSponza,nTravPSponza,nbNodesSponza,nbKdNodesSponza,nbBSPNodesSponza,SASponza,BuildtimeSponza,nbPrimIntSponza,nbPrimIntPSponza,nbBSPNodeTravSponza,nbBSPNodeTravPSponza,nbKdNodeTravSponza,nbKdNodeTravPSponza,nbLeafNodeTravSponza,nbLeafNodeTravPSponza,nbNodeTravSponza,nbKdNodeTravPercSponza,nbKdNodeTravPPercSponza,nbKdNodePercSponza,nbNodesTovKdSponza,SATovKdSponza,RendertimeTovKdSponza,BuildtimeTovKdSponza,nbPrimIntTovKdSponza,nbPrimIntPTovKdSponza,nbLeafNodeTravTovKdSponza,nbLeafNodeTravPTovKdSponza,nbNodeTravTovKdSponza,nbNodeTravPTovKdSponza,RendertimeConference,nTravConference,nTravPConference,nbNodesConference,nbKdNodesConference,nbBSPNodesConference,SAConference,BuildtimeConference,nbPrimIntConference,nbPrimIntPConference,nbBSPNodeTravConference,nbBSPNodeTravPConference,nbKdNodeTravConference,nbKdNodeTravPConference,nbLeafNodeTravConference,nbLeafNodeTravPConference,nbNodeTravConference,nbKdNodeTravPercConference,nbKdNodeTravPPercConference,nbKdNodePercConference,nbNodesTovKdConference,SATovKdConference,RendertimeTovKdConference,BuildtimeTovKdConference,nbPrimIntTovKdConference,nbPrimIntPTovKdConference,nbLeafNodeTravTovKdConference,nbLeafNodeTravPTovKdConference,nbNodeTravTovKdConference,nbNodeTravPTovKdConference
bsparbitrary,2,8.526715901,695741027,267940380,597087,0,298543,662.415309,42.713626567,78875484,35222638,579091188,225471403,0,0,116649839,42468977,579091188,0,0,0,61.9784114040269,72.0093990835381,80.4390657259076,4794.59943637786,53.4453920424646,52.5626130227924,92.2535478655841,94.3490384908251,98.9065027162793,102.818513019526,335.820459316,10696325101,6858158524,3211835,0,1605917,5371.58818,272.350248237,6523368421,3621354977,9052185073,5871273038,0,0,1644140028,986885486,9052185073,0,0,0,65.1901052898643,155.716147428558,205.400926279974,4357.89381007984,555.621183414577,604.895719243223,118.272020219375,115.336308963489,124.892844220199,125.60598957264,348.261111043,9048427382,4670859479,853737,0,426868,6767.569162,103.035247073,6979150265,2225819449,7446368363,3933113527,0,0,1602059019,737745952,7446368363,0,0,0,49.0530251885015,481.084730561321,163.779758146773,3340.80702966782,390.962266545052,369.410519235921,109.15668535222,116.000354693373,111.10521823192,119.781228188818
bsparbitrary,3,8.074301674,646930005,247856407,735613,0,367806,557.027788,64.333349312,60986137,26043267,537233632,208038468,0,0,109696373,39817939,537233632,0,0,0,76.3575913529359,60.5530031412853,76.1710945440929,7221.41070994711,41.3237147441207,38.8642714713833,86.754338317059,88.4594950176532,91.7573963889856,94.8688199302162,270.61936083,10158172527,6757286741,3983071,0,1991535,4213.580555,412.348719571,4658942758,2419915303,8600055843,5777405370,0,0,1558116684,979881371,8600055843,0,0,0,80.8437599898516,122.146841663592,165.521384542779,6598.01833941813,396.820648719993,404.212350629185,112.083888729575,114.517745124912,118.654824887362,123.597849046436,283.868356794,9439584100,4609288424,1076869,0,538434,3284.041047,162.35151062,3899499008,1300088852,7792671649,3902018399,0,0,1646912451,707270025,7792671649,0,0,0,61.8734834986845,233.451918174621,133.497221903432,5264.0730562058,218.444497205257,215.770644867859,112.212784975096,111.208436375115,116.272314498154,118.834239855794
bsparbitrary,4,7.883264246,637795311,249343564,760439,0,380219,525.876585,82.183866652,52388489,22294030,529741290,209139711,0,0,108054021,40203853,529741290,0,0,0,78.9345626176198,57.1666390608028,74.3688916320435,9225.12913088635,35.4980177759333,33.2692988982973,85.4554698390311,89.3168411891926,90.4777337732694,95.3710040929375,244.072544399,10231197061,6314012141,4186079,0,2093039,3665.190764,528.189110972,3491658021,1725029634,8638236572,5411110045,0,0,1592960489,902902096,8638236572,0,0,0,84.9641811493086,106.249653963758,149.284313413111,8451.58788052003,297.398374045785,288.141606609007,114.590394951246,105.521255085149,119.181603759066,115.761578024005,258.880673388,8917316646,4395777316,1146265,0,573132,3012.498657,208.003269121,3237685355,997403008,7357111501,3717629624,0,0,1560205145,678147692,7357111501,0,0,0,65.8607579590643,214.148842815947,121.746048387025,6744.2822084077,181.370619156675,165.5350631599,106.304961351539,106.62935200557,109.773441096037,113.218761486783
bsparbitrary,5,7.879584807,622238381,242491467,783783,0,391891,505.998451,98.503601133,58404862,24421713,516221413,204327684,0,0,106016968,38163783,516221413,0,0,0,81.3577003443089,55.0057402035542,74.3341806555091,11057.0173603183,39.5746636150727,36.4444324065875,83.8444486147306,84.7846236376849,88.1685918299383,93.1766439471863,251.343767245,9871009778,6269485867,4309093,0,2154546,3620.395006,636.029901427,4192266969,1719918558,8308392665,5352813282,0,0,1562617113,916672585,8308392665,0,0,0,87.4609767854878,104.951076592754,153.731677670781,10177.155293218,357.072019266475,287.287874231827,112.40762929949,107.130598212,114.630752957661,114.514417049187,257.032335368,8825926903,4436353298,1212067,0,606033,2370.580766,262.949491203,3116762679,897431907,7259703381,3728165895,0,0,1566223522,708187403,7259703381,0,0,0,69.6415325576278,168.516964036157,120.876814515398,8525.85434221527,174.596699454338,148.943251840438,106.715024948902,111.352681386693,108.320041277149,113.539638947412
bsparbitrary,6,7.830103436,633680056,240189681,784047,0,392023,520.509954,112.739509091,54812009,23754337,526365248,201225855,0,0,107314808,38963826,526365248,0,0,0,81.3851038895388,56.5832469378211,73.8673848456932,12654.9963135849,37.1401753888458,35.4485096585895,84.8708567571531,86.5619983976495,89.9011190463272,91.7621610408071,225.439767368,9447284136,5989823798,4371523,0,2185761,3642.398369,726.783517483,2997959114,1409948783,8009187132,5130473248,0,0,1438097004,859350550,8009187132,0,0,0,88.728108588101,105.588928714327,137.887778284993,11629.309731163,255.348078361922,235.511842557734,103.450214116744,100.431429936689,110.502619283698,109.757826815445,241.837777538,8484309338,4233906868,1207315,0,603657,2434.222644,299.925067588,2955540648,784238516,7028389439,3587036401,0,0,1455919899,646870467,7028389439,0,0,0,69.368497681904,173.04106050228,113.731138677256,9724.74762409878,165.565266075857,130.156988937501,99.1994604620608,101.711440651413,104.868669446862,109.241602796424
bsparbitrary,7,7.854625283,634037042,243112489,783303,0,391651,496.375183,125.877070313,53849256,23443177,530875203,205008223,0,0,103161839,38104266,530875203,0,0,0,81.3078757166183,53.959620440794,74.0987182788057,14129.6859780547,36.4878217180264,34.9841667360584,81.5864448135945,84.6524007276803,90.6714016645075,93.4869804559443,234.076073601,9707022747,5993661769,4398339,0,2199169,3619.163245,817.629596099,3361478325,1666124150,8273003949,5128554373,0,0,1434018798,865107396,8273003949,0,0,0,89.272388684511,104.915369261692,143.170080928223,13082.9436684679,286.310452579442,278.302285322402,103.156846365655,101.10422670828,114.142495442056,109.716775719425,236.719180373,8623408889,4272993859,1288763,0,644381,2157.056293,347.828988466,2846003173,801266383,7142918932,3623939591,0,0,1480489957,649054268,7142918932,0,0,0,74.0482419070613,153.338195840001,111.323971815519,11277.9807182504,159.429129458712,132.983037201558,100.873547407912,102.054813176728,106.577532572273,110.365473081871
bsparbitrary,8,7.843277306,603667996,234829032,819729,0,409864,493.315716,138.147900389,59394962,26407137,503939888,198153447,0,0,99728108,36675585,503939888,0,0,0,85.0889421504932,53.6270339543516,73.9916640883815,15507.0851758024,40.245547392613,39.4072733328737,78.8708485480391,81.4784443910323,86.0709555492554,90.3610945740796,220.3647695,9271567868,5937797177,4357537,0,2178768,3266.017992,914.799379966,2729931063,1529311918,7873943036,5069862406,0,0,1397624832,867934771,7873943036,0,0,0,88.4442369656222,94.678095584497,134.78371111446,14637.763619549,232.519065300892,255.449752499047,100.538828551289,101.434659165928,108.636658780548,108.461160021213,234.605179597,8513140792,4271267804,1232009,0,616004,2204.90756,394.737454014,2496593573,634939538,7045510009,3630080198,0,0,1467630783,641187606,7045510009,0,0,0,70.787336743588,156.739788544952,110.329802426986,12798.9372443473,139.855690862087,105.378423448216,99.9973844241769,100.817889300997,105.124120772042,110.55248254479
bsparbitrary,9,7.735346604,577087137,223338343,805791,0,402895,496.641237,149.009372287,60014636,26370478,481115018,188616403,0,0,95972119,34721940,481115018,0,0,0,83.6421595239257,53.9885424605653,72.9734708082462,16726.2840878568,40.6654334990301,39.352567242126,75.9003917178834,77.1382285364707,82.1725573117507,86.0120522137862,213.025496974,9489636322,5849896435,4415969,0,2207984,3523.6837,992.7925336,3173637068,1411954813,8063437877,4998801245,0,0,1426198445,851095190,8063437877,0,0,0,89.6302219967018,102.147527348384,130.294725011195,15885.7370789102,270.311267070858,235.846921269261,102.594285432652,99.4666343600267,111.251115894127,106.940926267849,233.024918708,8583784725,4159651939,1227769,0,613884,2186.485046,422.833690062,2534807940,701374154,7119925661,3534869458,0,0,1463859064,624782481,7119925661,0,0,0,70.5437197669321,155.430191262413,109.586639501232,13709.9274691766,141.996406417651,116.404315958421,99.7403974223017,98.2384101271295,106.234456287595,107.652881682604
bsparbitrary,10,7.693567061,593469615,232930802,824327,0,412163,481.625529,159.311639189,54857983,24294524,496572630,196918624,0,0,96896985,36012178,496572630,0,0,0,85.5662205632467,52.3562249473633,72.5793322624807,17882.7123064784,37.1713270005907,36.2546287301066,76.6318301024683,80.0046200373615,84.812656789944,89.7979958262428,219.840389345,9663223315,5947567606,4355887,0,2177943,3415.439062,1070.610500353,3256437904,1550425867,8190040829,5084761688,0,0,1473182486,862805918,8190040829,0,0,0,88.4107471774705,99.0096401082719,134.462979704053,17130.9073617395,277.363742957078,258.976536657887,105.974105492078,100.835255301317,112.997854679784,108.779905044213,234.758539778,8456871258,4415727939,1214973,0,607486,2101.027743,455.933332474,2594841757,651421888,7003158226,3753949508,0,0,1453713032,661778431,7003158226,0,0,0,69.8085021175716,149.355306380689,110.401924442787,14783.1477621425,145.359417138508,108.113934396538,99.0490950361456,104.055511950032,104.492201443943,114.324867446687
