type,K,RendertimeFeet,nTravFeet,nTravPFeet,nbNodesFeet,nbKdNodesFeet,nbBSPNodesFeet,SAFeet,BuildtimeFeet,nbPrimIntFeet,nbPrimIntPFeet,nbBSPNodeTravFeet,nbBSPNodeTravPFeet,nbKdNodeTravFeet,nbKdNodeTravPFeet,nbLeafNodeTravFeet,nbLeafNodeTravPFeet,nbNodeTravFeet,nbKdNodeTravPercFeet,nbKdNodeTravPPercFeet,nbKdNodePercFeet,nbNodesTovKdFeet,SATovKdFeet,RendertimeTovKdFeet,BuildtimeTovKdFeet,nbPrimIntTovKdFeet,nbPrimIntPTovKdFeet,nbLeafNodeTravTovKdFeet,nbLeafNodeTravPTovKdFeet,nbNodeTravTovKdFeet,nbNodeTravPTovKdFeet,RendertimeSponza,nTravSponza,nTravPSponza,nbNodesSponza,nbKdNodesSponza,nbBSPNodesSponza,SASponza,BuildtimeSponza,nbPrimIntSponza,nbPrimIntPSponza,nbBSPNodeTravSponza,nbBSPNodeTravPSponza,nbKdNodeTravSponza,nbKdNodeTravPSponza,nbLeafNodeTravSponza,nbLeafNodeTravPSponza,nbNodeTravSponza,nbKdNodeTravPercSponza,nbKdNodeTravPPercSponza,nbKdNodePercSponza,nbNodesTovKdSponza,SATovKdSponza,RendertimeTovKdSponza,BuildtimeTovKdSponza,nbPrimIntTovKdSponza,nbPrimIntPTovKdSponza,nbLeafNodeTravTovKdSponza,nbLeafNodeTravPTovKdSponza,nbNodeTravTovKdSponza,nbNodeTravPTovKdSponza,RendertimeConference,nTravConference,nTravPConference,nbNodesConference,nbKdNodesConference,nbBSPNodesConference,SAConference,BuildtimeConference,nbPrimIntConference,nbPrimIntPConference,nbBSPNodeTravConference,nbBSPNodeTravPConference,nbKdNodeTravConference,nbKdNodeTravPConference,nbLeafNodeTravConference,nbLeafNodeTravPConference,nbNodeTravConference,nbKdNodeTravPercConference,nbKdNodeTravPPercConference,nbKdNodePercConference,nbNodesTovKdConference,SATovKdConference,RendertimeTovKdConference,BuildtimeTovKdConference,nbPrimIntTovKdConference,nbPrimIntPTovKdConference,nbLeafNodeTravTovKdConference,nbLeafNodeTravPTovKdConference,nbNodeTravTovKdConference,nbNodeTravPTovKdConference,RendertimeMuseum,nTravMuseum,nTravPMuseum,nbNodesMuseum,nbKdNodesMuseum,nbBSPNodesMuseum,SAMuseum,BuildtimeMuseum,nbPrimIntMuseum,nbPrimIntPMuseum,nbBSPNodeTravMuseum,nbBSPNodeTravPMuseum,nbKdNodeTravMuseum,nbKdNodeTravPMuseum,nbLeafNodeTravMuseum,nbLeafNodeTravPMuseum,nbNodeTravMuseum,nbKdNodeTravPercMuseum,nbKdNodeTravPPercMuseum,nbKdNodePercMuseum,nbNodesTovKdMuseum,SATovKdMuseum,RendertimeTovKdMuseum,BuildtimeTovKdMuseum,nbPrimIntTovKdMuseum,nbPrimIntPTovKdMuseum,nbLeafNodeTravTovKdMuseum,nbLeafNodeTravPTovKdMuseum,nbNodeTravTovKdMuseum,nbNodeTravPTovKdMuseum
\symKd,,10.600217474,711938371,264303290,963379,481689,0,919.901176,0.890869553,147581449,67010820,0,0,585493544,219290667,126444827,45012623,585493544,100,100,100,100,100,100,100,100,100,100,100,100,100,163.495104622,8638095737,5530016516,4926875,2463437,0,3449.602542,6.24958432,1174067623,598674261,0,0,7247961346,4674357535,1390134391,855658981,7247961346,100,100,100,100,100,100,100,100,100,100,100,100,100,212.639898229,8169756149,3919566842,1740437,870218,0,1406.731233,3.084142429,1785121190,602532774,0,0,6702086978,3283580897,1467669171,635985945,6702086978,100,100,100,100,100,100,100,100,100,100,100,100,100,70.601022381,4730904957,2035505245,20956261,10478130,0,4453.171061,31.093177832,1287698291,1061394908,0,0,3970964391,1681389980,759940566,354115265,3970964391,100,100,100,100,100,100,100,100,100,100,100,100,100
\symBSPize,,9.976382599,670583317,257510592,1706677,421867,431471,891.610567,188.100117485,107852622,48707756,569470293,220643290,0,0,101113024,36867302,569470293,0,0,49.4372687024368,177.155304402525,96.9246034532735,94.1148860716289,21114.2155270178,73.0800671295753,72.686404971615,79.9661215084742,81.9043626939936,97.2632916000181,100.616817404272,270.235275712,11018152517,6926653990,9127235,2323837,2239780,4013.0743,2240.548093244,4573133582,2889744500,9389813030,5972513446,0,0,1628339487,954140544,9389813030,0,0,50.920947134696,185.254040339972,116.334396532341,165.2864630637,35851.1539091291,389.511940574142,482.690619632301,117.135400544162,111.509440698549,129.551091427689,127.771857443079,222.841724103,9373872703,4422132807,3817697,950474,958374,1905.477574,824.997665477,2284973830,843402343,7860567632,3770116834,0,0,1513305071,652015973,7860567632,0,0,49.7930689085773,219.352783237773,135.454273659395,104.797700694445,26749.6616796811,128.001047928852,139.97617712991,103.109413272536,102.520500354768,117.285371822281,114.817236190054,62.246758803,5038248245,1967209947,52888501,10179079,16265171,4121.812542,28028.442135297,941103619,495013834,4323265196,1655248492,0,0,714983049,311961455,4323265196,0,0,38.4925985800316,252.375655180092,92.5590435565799,88.1669368285971,90143.3822130947,73.0841708479056,46.6380449226726,94.0840745959073,88.0960200910853,108.871920528889,98.4452454034489
\symBSPizefastkd,,10.067313746,701219449,263259180,1619919,445889,364070,801.507969,175.020610159,112427626,50367555,69076695,26065428,519019040,196762848,113123714,40430904,588095735,88.2541751471808,88.3024594239557,55.0508112139009,168.149710550053,87.1297906678619,94.9727094816017,19646.0424053801,76.1800529550296,75.16331690912,89.464880995092,89.8212574725983,100.44444401252,101.613205453928,178.556285797,10005411177,5979418074,8321253,2311388,1849238,3150.427146,2208.217625646,1839860564,850870660,997239531,465213456,7474252022,4623689363,1533919624,890515255,8471491553,88.2282886695809,90.8582758888012,55.5538517521161,168.895151592033,91.3272502452835,109.212007423599,35333.8320211031,156.70822769976,142.125812888421,110.343261337241,104.073617501129,116.88102555452,108.868497561345,196.78110535,8622527969,4182972707,3113927,908827,648136,1394.695081,788.959740664,1489128327,493517022,734845373,317553471,6427825992,3211665633,1459856604,653753603,7162671365,89.7406241951741,91.002160488135,58.3717789054717,178.916387091288,99.1443886566497,92.5419486130862,25581.1707411908,83.4188925290837,81.907083447713,99.4676888256311,102.793718656786,106.872253202799,107.48080265738,59.796723258,4988997389,2088206937,51141501,10652713,14918037,3640.169225,28539.504216243,740434150,651793329,545136605,224363499,3691527938,1509557561,752332846,354285877,4236664543,87.1328824959555,87.0603394712791,41.6597596863604,244.039244405288,81.7433055037991,84.696681777929,91787.0292012132,57.5005927378372,61.4091253017392,98.998905922335,100.048179792532,106.69107364957,103.124265079776
\symBSParbitraryfastkd,6,7.178764979,580340436,215112768,1422033,209851,501165,262.303982,100.86371314,28052111,10757469,132411034,51011450,354761311,132958846,93168091,31142472,487172345,72.8204945623504,72.2719095913179,29.5142444051892,147.608884976733,28.5143653300428,67.7228084858441,11321.9396487782,19.0078842497339,16.0533313873789,73.6828015906099,69.1860858675132,83.20712499607,83.8933542028034,131.391738121,8446792431,5468250119,6638291,1213321,2105824,1779.862222,591.412227877,688059300,325338274,797701290,498192226,6348290443,4156524206,1300800698,813533687,7145991733,88.8370807047504,89.2970445508763,36.5552273251093,134.73633895725,51.5961534794115,80.3643255403745,9463.22503377313,58.6047418837646,54.3431203233239,93.5737369294391,95.0768594807749,98.5931269755422,99.5798117098888,167.053413254,7859006712,3755196562,2306635,508497,644820,889.601039,266.633254579,841074268,206118919,499834112,233701680,5979918993,2934157345,1379253607,587337537,6479753105,92.286216713808,92.6227247438828,44.089959655498,132.531944563348,63.2388773442411,78.5616503042594,8645.29640628345,47.1158077508452,34.2087481203139,93.9757837973964,92.3507102031948,96.6826173141318,96.4757417091284,44.784499438,4412497083,1817197349,37120425,5936401,12623811,2359.541838,3562.18304921,347308497,426874605,418201045,193788540,3317753575,1329826241,676542463,293582568,3735954620,88.8060459096262,87.2810015748987,31.9845538402255,177.132862584599,52.9856546195677,63.4332165847676,11456.4779079735,26.9712633329883,40.2182638886374,89.0257071761583,82.9059340325247,94.081796061112,90.616382821551
\symBSPclusterfastkd,6,7.189951289,580536539,218708140,1432119,209231,506828,258.232616,103.917773417,27660452,10981605,132181532,53468148,353542016,132938609,94812991,32301383,485723548,72.7866741185873,71.3164110247355,29.2197989271834,148.655824966083,28.0717780058583,67.8283375471811,11664.7575469447,18.7424992689969,16.3878087150702,74.9836851767767,71.7607214314082,82.9596761531499,85.0044188155075,131.349780908,8442865498,5463227333,6677895,1219265,2119682,1781.421071,608.880471195,695923228,326235319,821311664,513634357,6323346331,4139262966,1298207503,810330010,7144657995,88.504534932606,88.9609780456357,36.5164526421054,135.540175060256,51.6413427144326,80.3386628680291,9742.73551676794,59.2745438479739,54.4929589014016,93.3871941738042,94.7024489888455,98.5747254149333,99.5408949392657,168.56387711,7791205527,3774087930,2351149,507837,667737,918.431767,272.771770076,958394860,248937111,646062705,293433760,5789202781,2892247286,1355940041,588406884,6435265486,89.9605897160651,90.7889786904926,43.1990670089675,135.08957807723,65.2883610923566,79.2719891769639,8844.33116678218,53.6879437300277,41.3151154164437,92.3873082430509,92.5188502396857,96.0188297633878,97.0185034548884,46.511393665,4454245426,1886109986,38756779,5916505,13461884,2369.789841,3766.326019511,367312961,475392107,487848699,209095982,3285233292,1372217390,681163435,304796614,3773081991,87.0702863027182,86.7770686252061,30.5314595552809,184.941287952083,53.2157828329155,65.8792069808851,12113.0301954367,28.5247688505319,44.7893713656293,89.6337773604258,86.0727125107131,95.0167672002174,94.0479835617909
\symBSPrandomfastkd,10,8.504966455,667099149,255066986,1661853,251046,579880,433.364717,158.424548926,51989626,23958004,142459176,60085345,418291888,157193831,106348085,37787810,560751064,74.5949343397055,72.3464778787637,30.2127987329798,172.502514586679,47.1099209682932,80.2338864826199,17783.1365313256,35.227751422877,35.752441172933,84.1063153971495,83.9493623821922,95.7740814986681,99.0827284044879,139.793625926,9203491651,5947503604,9481227,1635991,3104622,1717.634343,1003.4711868,586277823,321811605,1295071559,769032042,6562368739,4318588011,1346051353,859883551,7857440298,83.5178950156371,84.884247762438,34.5101150420842,192.438959786883,49.792239021373,85.5032487053372,16056.6068944566,49.9356094585022,53.7540405466003,96.8288650158285,100.493721224671,108.408970783714,108.841054945105,185.188544756,8621231623,4162538336,3479229,614588,1125026,910.226592,473.679932396,937973863,313133167,1151195267,456190051,6077575783,3073838410,1392460573,632509875,7228771050,84.0748135604599,87.0768732875664,35.3289867752272,199.905483507878,64.7050815854033,87.0902150999731,15358.5621708653,52.5439879518768,51.9694829081613,94.8756436746057,99.4534360346595,107.858508457573,107.505451265878,55.378466183,4932094308,2102173359,68313821,7288150,26868760,2157.439958,6769.02697102,473503207,554798505,709759751,289315972,3501542071,1478669577,720792486,334187810,4211301822,83.1463100722872,83.6358406796005,21.3372638215811,325.982869749523,48.4472733799615,78.4386179057703,21770.1355827758,36.7712848816695,52.2706959321497,94.8485339839063,94.3726077439785,106.052369332365,105.150237008074
\symRBSP,13,8.766745803,631604580,246443675,1557929,171498,607466,565.795617,223.532320228,65436564,30265079,535483369,210796218,0,0,96121211,35647457,535483369,0,0,22.0161650602595,161.71506748642,61.5061304150349,82.7034523065484,25091.4760163546,44.3392881987492,45.1644659772855,76.0183024332027,79.1943562142557,91.458458336135,96.1263973901817,213.583429581,11865054437,7444392712,10030881,1317877,3697563,3428.409812,1481.453750155,2449333406,1428433984,10249381610,6447274205,0,0,1615672827,997118507,10249381610,0,0,26.2763984814892,203.595199797032,99.385647194366,130.635978413423,23704.8365827153,208.619449000852,238.599531841239,116.224218137482,116.532231781717,141.410544575495,137.928563588151,215.066315156,9888417784,4873658624,3859093,485023,1444523,1406.394167,687.061767255,1754628348,669628377,8359976622,4163108652,0,0,1528441162,710549972,8359976622,0,0,25.1366383594897,221.731266342878,99.976039061898,101.141092027982,22277.2385864739,98.2918335085138,111.135593928705,104.140714556169,111.724162709288,124.736916268651,126.785627721357,340.227364176,5015158519,1914267918,61470203,5632538,25102563,3268.506309,7760.033937737,17717238189,6368080337,4322865117,1632348005,0,0,692293402,281919913,4322865117,0,0,18.3260761043212,293.326194973426,73.3972772262206,481.901469273285,24957.3523158853,1375.88426674397,599.972761222254,91.0983612368444,79.6124710975111,108.861845419656,97.0832480517102
\symRBSPKd,13,8.85606252,660850951,252327930,1749785,260741,614151,471.081938,229.172793458,62584804,28813038,160581579,62552831,397528904,152658362,102740468,37116737,558110483,71.2276361237959,70.9342111216307,29.8026499270767,181.629971174377,51.2100593292426,83.5460455572914,25724.6184569067,42.4069586144259,42.9975905383638,81.2531998640008,82.4585072502884,95.3230806247797,98.1396955667065,154.030614475,9932584525,6102959779,9649395,1602187,3222510,2484.414265,1477.988741869,915579183,453497010,1869779670,1085528519,6608626528,4144341278,1454178327,873089982,8478406198,77.946566532268,79.2436798403148,33.2080335822125,195.852238995306,72.02030479603,94.2111476861146,23649.3927626374,77.9835134760377,75.7502100127869,104.607031982996,102.037143463349,116.976426794537,111.884248430731,197.591052563,8754381653,4180727103,3538867,607323,1162110,1108.096334,684.551204888,1308132391,472096219,1440958597,618420797,5912880231,2935366449,1400542825,626939857,7353838828,80.4053552069499,82.5982605543967,34.3230289024789,203.332094180944,78.7710052926649,92.9228494787026,22195.8363028636,73.2797525640262,78.3519568347995,95.4263299027898,98.5776276864106,109.72461044059,108.229014526393,55.142502283,4872212503,1883469270,62685467,6962231,24380502,2660.156066,7745.270615216,710137376,350824577,880104193,349695689,3293806915,1271438844,698301395,262334737,4173911108,78.9141605983622,78.4289531879338,22.2132224397917,299.125244718034,59.7362200903784,78.1043962584879,24909.8714099427,55.1478076008412,33.0531618680047,91.8889484575824,74.0817363521451,105.110766479296,96.4163312665869
