type,K,RendertimeFeet,nTravFeet,nTravPFeet,nbNodesFeet,nbKdNodesFeet,nbBSPNodesFeet,SAFeet,BuildtimeFeet,nbPrimIntFeet,nbPrimIntPFeet,nbBSPNodeTravFeet,nbBSPNodeTravPFeet,nbKdNodeTravFeet,nbKdNodeTravPFeet,nbLeafNodeTravFeet,nbLeafNodeTravPFeet,nbNodeTravFeet,nbKdNodeTravPercFeet,nbKdNodeTravPPercFeet,nbKdNodePercFeet,nbNodesTovKdFeet,SATovKdFeet,RendertimeTovKdFeet,BuildtimeTovKdFeet,nbPrimIntTovKdFeet,nbPrimIntPTovKdFeet,nbLeafNodeTravTovKdFeet,nbLeafNodeTravPTovKdFeet,nbNodeTravTovKdFeet,nbNodeTravPTovKdFeet,RendertimeSponza,nTravSponza,nTravPSponza,nbNodesSponza,nbKdNodesSponza,nbBSPNodesSponza,SASponza,BuildtimeSponza,nbPrimIntSponza,nbPrimIntPSponza,nbBSPNodeTravSponza,nbBSPNodeTravPSponza,nbKdNodeTravSponza,nbKdNodeTravPSponza,nbLeafNodeTravSponza,nbLeafNodeTravPSponza,nbNodeTravSponza,nbKdNodeTravPercSponza,nbKdNodeTravPPercSponza,nbKdNodePercSponza,nbNodesTovKdSponza,SATovKdSponza,RendertimeTovKdSponza,BuildtimeTovKdSponza,nbPrimIntTovKdSponza,nbPrimIntPTovKdSponza,nbLeafNodeTravTovKdSponza,nbLeafNodeTravPTovKdSponza,nbNodeTravTovKdSponza,nbNodeTravPTovKdSponza,RendertimeConference,nTravConference,nTravPConference,nbNodesConference,nbKdNodesConference,nbBSPNodesConference,SAConference,BuildtimeConference,nbPrimIntConference,nbPrimIntPConference,nbBSPNodeTravConference,nbBSPNodeTravPConference,nbKdNodeTravConference,nbKdNodeTravPConference,nbLeafNodeTravConference,nbLeafNodeTravPConference,nbNodeTravConference,nbKdNodeTravPercConference,nbKdNodeTravPPercConference,nbKdNodePercConference,nbNodesTovKdConference,SATovKdConference,RendertimeTovKdConference,BuildtimeTovKdConference,nbPrimIntTovKdConference,nbPrimIntPTovKdConference,nbLeafNodeTravTovKdConference,nbLeafNodeTravPTovKdConference,nbNodeTravTovKdConference,nbNodeTravPTovKdConference
bsprandom,2,10.085466215,833546971,302179160,1284163,0,642081,887.437439,51.401300852,95228412,42153744,706015738,259041025,0,0,127531233,43138135,706015738,0,0,0,133.297798685668,96.4709538538518,95.1439556757909,5769.78982825334,64.5260042134428,62.9058769912083,100.859193709838,95.8356392605692,120.584717839348,118.126789682299,715.466918044,18094052056,12364672771,4947085,0,2473542,16226.27415,340.699064022,15486843423,11352005644,15746237935,10760391439,0,0,2347814121,1604281332,15746237935,0,0,0,100.410199162755,470.380977299268,437.607547760012,5451.54760024104,1319.07593051819,1896.19069726467,168.891161617194,187.490737270716,217.250578242805,230.200436283058,638.752915452,17134830107,8820646352,1909417,0,954708,10243.393512,157.457972454,15329441138,7279974275,14606026953,7510217844,0,0,2528803154,1310428508,14606026953,0,0,0,109.709055829082,728.16990706568,300.391845919764,5105.40534618092,858.733918115666,1208.22876184325,172.300624961482,206.046771678264,217.932518645985,228.72035377175
bsprandom,3,9.443880194,776169123,283527860,1437519,0,718759,741.778385,73.902983841,75842812,33542078,657489084,243372433,0,0,118680039,40155427,657489084,0,0,0,149.216352027603,80.6367471151053,89.0913815415934,8295.60103296066,51.3904779455038,50.0547195214146,93.8591493347529,89.2092580341297,112.296555741356,110.981664805644,564.911554347,17543483202,11376897286,6615445,0,3307722,12423.637081,515.534167853,10629473615,7450428374,15222138169,9914882206,0,0,2321345033,1462015080,15222138169,0,0,0,134.272637320817,360.146913441137,345.521999360821,8249.09532307902,905.354462278703,1244.48783910555,166.987094775069,170.864224237015,210.019582643067,212.112191499275,567.629109971,17365129376,8928208724,2407735,0,1203867,8131.655268,232.262367923,12374613744,5882010326,14895566731,7634949137,0,0,2469562645,1293259587,14895566731,0,0,0,138.340830492572,578.053225608591,266.94384012529,7530.85738645049,693.208607534371,976.214171214527,168.264258308114,203.347196139688,222.252662191577,232.518989983636
bsprandom,4,9.071818227,715952910,275120957,1567505,0,783752,668.57432,96.250263902,65996257,29807213,607259869,235698372,0,0,108693041,39422585,607259869,0,0,0,162.709068808849,72.6789287200563,85.58143499651,10804.0805276011,44.7185316631496,44.4811942310212,85.960844408447,87.5811769511854,103.717602904943,107.482172052493,481.771178735,17711883857,12066018924,7662403,0,3831201,10495.620831,682.785406241,8620151491,5898245498,15433858435,10567980592,0,0,2278025422,1498038332,15433858435,0,0,0,155.522577698846,304.255945524521,294.670094158998,10925.2931279916,734.212520823428,985.21781914389,163.870877287,175.074225277138,212.940683569148,226.084130554211,493.977108722,17543320660,9331414617,2913549,0,1456774,6411.632169,310.377203406,9256522720,4468065511,15005594359,7995965880,0,0,2537726301,1335448737,15005594359,0,0,0,167.403301584602,455.782314246804,232.306877888936,10063.6468824378,518.537496045297,741.547298969002,172.908605777344,209.980856888276,223.894354225136,243.513594786272
bsprandom,5,8.867225055,719254603,273426478,1568391,0,784195,613.993062,115.419516074,59464960,27160990,610591300,234820584,0,0,108663303,38605894,610591300,0,0,0,162.801036767461,66.7455459367735,83.6513503307772,12955.8267745626,40.2929774730698,40.5322453896251,85.937325850428,85.7668170104195,104.286598248127,107.081886891246,445.472053677,17751518953,12092016820,8500053,0,4250026,9235.863695,847.276435384,7270663789,4671467599,15474180783,10551160371,0,0,2277338170,1540856449,15474180783,0,0,0,172.524226817202,267.737038761725,272.468129676989,13557.3246475375,619.271296351897,780.302061290722,163.821439476926,180.078335319898,213.497010321942,225.724290279391,455.246958867,17402828872,9045966141,3216481,0,1608240,5827.736467,384.776520928,8051840770,4015334132,14892208466,7718504012,0,0,2510620406,1327462129,14892208466,0,0,0,184.808815257318,414.275046312276,214.092916079525,12475.9647061034,451.052892941123,666.409248636158,171.061738953703,208.725073161798,222.202554441394,235.063616646446
bsprandom,6,8.726647635,709973292,268499956,1588763,0,794381,580.689143,135.074803485,56418600,25638624,601654063,230865345,0,0,108319229,37634611,601654063,0,0,0,164.915677007699,63.1251658493368,82.3251754636595,15162.1304185485,38.2287884976654,38.2604242120899,85.6652119109626,83.6090156310153,102.76015323578,105.278235575799,406.738069771,17619239076,11564801060,9001699,0,4500849,8126.402783,999.582547765,5796867941,3938010695,15326018680,10102615770,0,0,2293220396,1462185290,15326018680,0,0,0,182.706056070024,235.575046228036,248.776910300389,15994.3845315619,493.742253635079,657.788542373964,164.963935202722,170.884116507625,211.452820294884,216.12843464273,435.045615735,16107043029,9049610577,3316979,0,1658489,5159.811472,451.687933919,7010026753,3648582069,13780610868,7714277783,0,0,2326432161,1335332794,13780610868,0,0,0,190.583112172403,366.794406135148,204.592656109383,14645.4952816642,392.691924350525,605.540847973856,158.512027571914,209.962626453954,205.616711827759,234.934908716519
bsprandom,7,8.592215013,713663878,276155542,1619453,0,809726,563.458181,154.646763096,52514399,24240456,605076757,236586479,0,0,108587121,39569063,605076757,0,0,0,168.10133914067,61.2520339902251,81.0569691996868,17359.080527023,35.5833333768121,36.1739432527463,85.8770766478252,87.9065923352212,103.344735941273,107.887162840359,378.03459699,16725709321,10970873741,9443847,0,4721923,7492.031156,1153.336139978,5278307106,3316146565,14551501724,9562163005,0,0,2174207597,1408710736,14551501724,0,0,0,191.680263858937,217.185344247117,231.220743803929,18454.6056333231,449.574368852176,553.915005375519,156.402691069025,164.634599446809,200.766822963683,204.566358764852,413.666911797,15837860032,8856697602,3530229,0,1765114,4725.448649,521.646620486,6370029654,3251072298,13578285787,7563789514,0,0,2259574245,1292908088,13578285787,0,0,0,202.835782047842,335.916949744728,194.538708512504,16913.8304243341,356.840179237355,539.56771121632,153.956647018785,203.291927779945,202.597874834683,230.35185522338
bsprandom,8,8.493029385,684830664,267570774,1659193,0,829596,534.205636,175.08257831,49161134,22881221,581996700,228707745,0,0,102833964,38863029,581996700,0,0,0,172.226403108226,58.0720679500468,80.1212749250808,19652.9983228644,33.3111880477607,34.1455618659793,81.3271419952989,86.3380678793147,99.4027527654515,104.294335973724,365.651115766,17294587574,11366957674,9817581,0,4908790,6864.338467,1307.692173613,4891552820,2794625063,15047225953,9939095333,0,0,2247361621,1427862341,15047225953,0,0,0,199.265883546873,198.98925697742,223.646522390615,20924.4664389615,416.632971063542,466.802273799441,161.665061705534,166.872828160031,207.606321759763,212.630190535906,393.255426714,15810198064,8640727702,3605375,0,1802687,4346.503707,595.741861951,5734034571,2998759629,13529869302,7365441060,0,0,2280328762,1275286642,13529869302,0,0,0,207.153433304394,308.978972318019,184.939623273563,19316.28890901,321.212621480338,497.692367685214,155.370761140012,200.521198939389,201.875465752871,224.311241021329
bsprandom,9,8.392612017,674267587,262606526,1660857,0,830428,516.749558,193.409385363,49191285,22519405,568850022,224006330,0,0,105417565,38600196,568850022,0,0,0,172.399128484221,56.1744643318077,79.1739607001953,21710.1802067087,33.331618122275,33.6056251811275,83.3704054970948,85.7541583390952,97.1573517469904,102.150416643131,341.355520976,16380903496,10931419613,9880667,0,4940333,6441.086667,1444.188428175,4252752334,2421287214,14221308652,9513450869,0,0,2159594844,1417968744,14221308652,0,0,0,200.546330077382,186.719675341659,208.786386458,23108.5517728481,362.223797904697,404.441508802397,155.35151550682,165.716573481509,196.211154738683,203.524244728105,380.488080195,15670691684,8895090687,3638671,0,1819335,4123.314795,659.212407052,5334890981,2883265210,13431358456,7582479561,0,0,2239333228,1312611126,13431358456,0,0,0,209.066516053152,293.113190229423,178.935413045222,21374.2530453025,298.853154109946,478.52421219497,152.577520346375,206.38995819318,200.405612462047,230.921052316014
bsprandom,10,8.319181734,659483904,262640307,1712501,0,856250,508.69199,214.600976522,46225523,21366680,558917707,224966152,0,0,100566197,37674155,558917707,0,0,0,177.759843218505,55.2985476344255,78.4812363935469,24088.933761327,31.3220417018673,31.885417907138,79.5336585813827,83.6968665434138,95.4609513166553,102.588110601168,324.954591987,16222865245,10878821708,10199895,0,5099947,5994.954908,1589.23760609,3717069773,2195017166,14104952068,9478259834,0,0,2117913177,1400561874,14104952068,0,0,0,207.025650133198,173.786830077075,198.754936876119,25429.4929825029,316.597587752405,366.646323216491,152.353124324654,163.682250183733,194.605784918876,202.771391855031,369.981716409,15415622731,8576618650,3782165,0,1891082,3851.699528,721.316241812,4909683897,2641055668,13189513984,7318623386,0,0,2226108747,1257995264,13189513984,0,0,0,217.31122700793,273.804934279155,173.99449467877,23387.9030692457,275.033646147016,438.325645004665,151.676467080332,197.80236873002,196.79711748438,222.885429522585
