D	K	P
70	10	0.999377301732937
71	10	0.999377301732937
72	10	0.999531182413906
73	10	0.999531182413906
74	10	0.999531182413906
75	10	0.999531182413906
76	10	1
77	10	1
78	10	1
79	10	1
80	10	1
81	10	1
82	10	1
83	10	1
84	10	1
