type,K,RendertimeFeet,nTravFeet,nTravPFeet,nbNodesFeet,nbKdNodesFeet,nbBSPNodesFeet,SAFeet,BuildtimeFeet,nbPrimIntFeet,nbPrimIntPFeet,nbBSPNodeTravFeet,nbBSPNodeTravPFeet,nbKdNodeTravFeet,nbKdNodeTravPFeet,nbLeafNodeTravFeet,nbLeafNodeTravPFeet,nbNodeTravFeet,nbKdNodeTravPercFeet,nbKdNodeTravPPercFeet,nbKdNodePercFeet,nbNodesTovKdFeet,SATovKdFeet,RendertimeTovKdFeet,BuildtimeTovKdFeet,nbPrimIntTovKdFeet,nbPrimIntPTovKdFeet,nbLeafNodeTravTovKdFeet,nbLeafNodeTravPTovKdFeet,nbNodeTravTovKdFeet,nbNodeTravPTovKdFeet,RendertimeSponza,nTravSponza,nTravPSponza,nbNodesSponza,nbKdNodesSponza,nbBSPNodesSponza,SASponza,BuildtimeSponza,nbPrimIntSponza,nbPrimIntPSponza,nbBSPNodeTravSponza,nbBSPNodeTravPSponza,nbKdNodeTravSponza,nbKdNodeTravPSponza,nbLeafNodeTravSponza,nbLeafNodeTravPSponza,nbNodeTravSponza,nbKdNodeTravPercSponza,nbKdNodeTravPPercSponza,nbKdNodePercSponza,nbNodesTovKdSponza,SATovKdSponza,RendertimeTovKdSponza,BuildtimeTovKdSponza,nbPrimIntTovKdSponza,nbPrimIntPTovKdSponza,nbLeafNodeTravTovKdSponza,nbLeafNodeTravPTovKdSponza,nbNodeTravTovKdSponza,nbNodeTravPTovKdSponza,RendertimeConference,nTravConference,nTravPConference,nbNodesConference,nbKdNodesConference,nbBSPNodesConference,SAConference,BuildtimeConference,nbPrimIntConference,nbPrimIntPConference,nbBSPNodeTravConference,nbBSPNodeTravPConference,nbKdNodeTravConference,nbKdNodeTravPConference,nbLeafNodeTravConference,nbLeafNodeTravPConference,nbNodeTravConference,nbKdNodeTravPercConference,nbKdNodeTravPPercConference,nbKdNodePercConference,nbNodesTovKdConference,SATovKdConference,RendertimeTovKdConference,BuildtimeTovKdConference,nbPrimIntTovKdConference,nbPrimIntPTovKdConference,nbLeafNodeTravTovKdConference,nbLeafNodeTravPTovKdConference,nbNodeTravTovKdConference,nbNodeTravPTovKdConference
bspclusterwithkd,3,10.876493489,707207614,262188684,940765,470382,0,1084.087889,31.904398785,147364684,66899509,581715734,217614682,0,0,125491880,44574002,581715734,0,0,100,97.6526372279238,117.848299065551,102.606324027574,3581.26492005053,99.8531217836193,99.8338910044676,99.2463535103733,99.0255600079116,99.3547648750846,99.2357244277979,166.911593575,8640757095,5527717014,4840849,2420424,0,3727.12554,214.381247075,1156119094,589707505,7252412253,4674278882,0,0,1388344842,853438132,7252412253,0,0,100,98.2539439299759,108.0450717038,102.089658256679,3430.32810020555,98.471252537044,98.5022312492569,99.8712679139811,99.7404516227476,100.061409088536,99.9983173516486,206.783183854,8156362186,3898931843,1717155,858577,0,1570.019306,106.924232159,1777458392,600354531,6691572690,3265277543,0,0,1464789496,633654300,6691572690,0,0,100,98.6622899880892,111.607624055646,97.2457123880427,3466.90318688262,99.5707407405768,99.6384855573018,99.8037926354999,99.6333810490105,99.8431191950431,99.4425794711888
bspclusterwithkd,4,8.218961038,619813682,234353591,1023005,222234,289268,479.026141,59.765158527,60372449,28660279,514288947,196206094,0,0,105524735,38147497,514288947,0,0,43.4473374493159,106.189256772257,52.0736524202465,77.5357775268225,6708.63184466694,40.9078847030429,42.7696288450134,83.4551618311756,84.7484426757356,87.8385342196019,89.4730709173318,162.161482556,9062451495,5670997448,5578977,1385094,1404394,2482.267731,362.982862656,1028802755,455380777,7611112522,4803726463,0,0,1451338973,867270985,7611112522,0,0,49.6540583791721,113.235610808068,71.9580792505109,99.1843045887622,5808.11209306157,87.6272145527004,76.0648664332673,104.402781658827,101.357083167225,105.010390627986,102.767630140213,182.943712431,8131118970,3884619605,1930605,547416,417886,1166.995106,170.016606971,1118352593,311164613,6717108411,3278104759,0,0,1414010559,606514846,6717108411,0,0,56.7092992659292,110.926451230352,82.9579296047378,86.0345184298296,5512.60555843156,62.6485528974086,51.642769725917,96.3439572718258,95.366076997189,100.22413067824,99.8332266457938
bspclusterwithkd,5,7.45652875,582301257,223356001,1202687,182844,418499,365.607597,85.520509552,34341924,14887507,485418301,188887710,0,0,96882956,34468291,485418301,0,0,30.4059413679048,124.840483340409,39.7442254166658,70.3431676594299,9599.6668944415,23.2698108283244,22.2165718909275,76.6207351448233,76.5747221618256,82.9075411632549,86.1357724813706,152.783878203,8737920773,5672234311,6676945,1114319,2224153,2377.995353,540.074370742,1064142493,549136696,7392462737,4820137775,0,0,1345458036,852096536,7392462737,0,0,33.3781142989967,135.520893061017,68.9353432474366,93.4485950244417,8641.7646852711,90.637240321889,91.7254560239061,96.7861844661032,99.5836606546411,101.993683245562,103.118722496267,177.178753269,8046855092,3845184998,2274941,481198,656272,1080.956594,234.993747208,935818700,250358360,6667347896,3254787185,0,0,1379507196,590397813,6667347896,0,0,42.3042365952509,130.710907662846,76.8417284440858,83.3233813337276,7619.41942104776,52.4232587256443,41.5509945356101,93.9930621462921,92.8318963086519,99.4816676937492,99.1231002706129
bspclusterwithkd,6,7.175750028,571410835,216830173,1237985,164503,454489,337.946448,106.281710193,27037988,10879736,478090808,184570677,0,0,93320027,32259496,478090808,0,0,26.5759492852896,128.504461899211,36.7372557853975,67.6943661354169,11930.1091652641,18.3207226810736,16.2357899813791,73.8029615082632,71.6676653124614,81.6560341099167,84.1671374003345,173.085857589,9394588537,5951654754,6967315,1029249,2454408,2773.20328,680.740286551,1844304264,964163655,7977161265,5054668800,0,0,1417427272,896985954,7977161265,0,0,29.5450728932269,141.414486870481,80.3919653419597,105.86607959252,10892.5690365115,157.086715268359,161.049792484732,101.963326796078,104.829841551093,110.060758938821,108.13611843237,189.736903793,7879772405,3842219148,2208781,449030,655360,1202.73245,291.658010682,1260869590,422784181,6539065610,3259169391,0,0,1340706795,583049757,6539065610,0,0,40.6586441383931,126.909563517668,85.498382476022,89.2292111561609,9456.69719853266,70.6321563523651,70.1678314016492,91.3493872795942,91.6765160588572,97.5676029192828,99.2565584109012
bspclusterwithkd,7,7.056728828,564813721,212808871,1220423,156038,454173,330.367905,122.404982133,25814287,10222052,474532830,181943468,0,0,90280891,30865403,474532830,0,0,25.5711548956017,126.681503333579,35.9134126164004,66.5715476621928,13739.9444981369,17.491552749289,15.2543305693021,71.399434157951,68.5705496433745,81.0483454280411,82.9690886935922,187.169361173,9258419956,5759934527,6825549,978335,2434439,2819.630437,795.999833117,2283597381,1804593294,7863909580,4891456532,0,0,1394510376,868477995,7863909580,0,0,28.6668557601529,138.537084866168,81.7378350888286,114.480101166169,12736.8444421116,194.503053850076,301.431581672759,100.31478862967,101.498145205584,108.498227357958,104.644467081828,187.957556098,7784572176,3866782434,2150913,434727,640729,1228.914944,342.019501582,1227821952,426397620,6456021039,3272478990,0,0,1328551137,594303444,6456021039,0,0,40.4225742382766,123.584651440989,87.3596117844922,88.3924219600507,11089.614356523,68.7808737512101,70.767539692372,90.5211585315776,93.4460028043544,96.3285176720665,99.6618963458417
bspclusterwithkd,8,7.043962075,557353380,211486305,1216335,153633,454534,327.027708,135.862504217,26303702,10104923,468668106,180513337,0,0,88685274,30972968,468668106,0,0,25.2616468831752,126.257163587747,35.5503087214229,66.4511090671233,15250.5497308201,17.8231764074901,15.0795393937874,70.1375264644081,68.8095159440053,80.0466735804007,82.3169264198553,179.936085263,8896089339,5941254108,6790153,964731,2430345,2712.225736,899.564807412,2149850214,1000264373,7540004947,5086987494,0,0,1356084392,854266614,7540004947,0,0,28.4155936420864,137.818657871369,78.6242966538259,110.055946738596,14393.9942458765,183.111276717321,167.079902738628,97.5505966027136,99.8372754764553,104.029320619393,108.827522411591,184.455961886,7856358759,3766405820,2313095,459224,697323,1190.147816,403.893466694,1357977921,377422936,6509712525,3197297246,0,0,1346646234,569108574,6509712525,0,0,39.7064710729439,132.903115711744,84.6037813109393,86.7456970315855,13095.8111044488,76.072029653068,62.6394035787338,91.7540724169098,89.4844577107754,97.1296335957519,97.3722696742805
bspclusterwithkd,9,7.089284889,554939786,211549786,1229943,155330,459641,326.305688,148.798565823,26679063,10169686,467184801,180812531,0,0,87754985,30737255,467184801,0,0,25.2581016015389,127.669691782777,35.4718198555711,66.8786740120045,16702.6210876689,18.077517994826,15.1761849802763,69.4017992527286,68.2858561697238,79.7933309064805,82.4533635989169,180.759424771,8962706517,6164205868,6752747,958325,2418048,2816.041554,1000.01987133,2028596883,1042849666,7608594954,5260322537,0,0,1354111563,903883331,7608594954,0,0,28.3832680808667,137.059434225549,81.6337975089537,110.559533381085,16001.3821740067,172.7836491919,174.193168795677,97.4086801799007,105.635931027527,104.975655784906,112.535733469519,185.328616045,7901420575,3821670343,2253581,443584,683206,1226.364266,453.33821296,1297503173,401934637,6584729422,3248140229,0,0,1316691153,573530114,6584729422,0,0,39.3670515357786,129.483629686108,87.1782922871949,87.1560876338515,14699.0038040166,72.6843185923976,66.7075144031916,89.7130756042841,90.1796837664392,98.2489401229015,98.9206701734567
bspclusterwithkd,10,7.039725308,553943539,210002323,1235193,156364,461232,326.975046,159.99044307,26123999,10228461,466246902,179354612,0,0,87696637,30647711,466246902,0,0,25.3181691591267,128.214648648144,35.5445839760509,66.4111403871373,17958.9079603442,17.7014111035053,15.2638946964087,69.3556542253801,68.0869253053749,79.6331414373375,81.788529559263,181.668986915,8937078874,5694476531,6907297,974315,2479333,2750.750094,1096.985881818,1620439013,884863893,7622706438,4890894748,0,0,1314372436,803581783,7622706438,0,0,28.2111842318615,140.196311049093,79.7410733703013,111.115857159771,17552.9415341659,138.01922319086,147.803897819486,94.5500265664602,93.9137905221146,105.17035169078,104.632448660134,189.260940014,7817145407,3868114524,2342129,458516,712548,1242.753221,523.455235238,1429087027,418117338,6487494856,3289192414,0,0,1329650551,578922110,6487494856,0,0,39.1537951811344,134.571317433495,88.3433303993472,89.0053755622934,16972.4728117607,80.055462621,69.3932937828872,90.5960673749139,91.0275006155993,96.7981298556045,100.170896261613
